no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣,place_id
4661,2022/4/26 08:58,"0150deb7d0,0305",Ud12b72cb97ad69f841efe9b974ffdbe1,桃太郎日式料理,23.56613,119.56468,472667,54,0,晴多雲,ChIJv9NX1XU9aTQRIvMYrBHdhc0
4685,2022/4/27 18:17,"0150deb7d0,0052",Ud12b72cb97ad69f841efe9b974ffdbe1,林投貝殼教堂,23.56178733,119.646781,477044,54,0,晴多雲,ChIJHfzVWP9FbDQRibiAYDHgXQ4
4699,2022/4/28 10:04,"0150deb7d0,0056",Ud12b72cb97ad69f841efe9b974ffdbe1,龍門閉鎖陣地,23.55583752,119.6753087,478343,54,0,陰晴,ChIJGTSaq8lFbDQRjk4BwaWTEBM
1730,2022/2/6 17:02,"0150deb7d0,0150",U16f92b0df914c40495c60e84bf79adba,好享吃小火鍋,23.56745,119.56641,239213,40,0,風,ChIJ20lg-PJabDQRDHiKMctfOv0
1820,2022/2/7 15:40,"0150deb7d0,0207",U16f92b0df914c40495c60e84bf79adba,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,241312,40,0,雨,ChIJq6oOY_JabDQRUL98WnR_cpM
1862,2022/2/8 13:38,"0150deb7d0,0308",U16f92b0df914c40495c60e84bf79adba,沐一日式豬排專賣店,23.57319,119.57316,244079,40,0,風,ChIJH6_areIfaDQRxbw1ItW8NYE
1863,2022/2/8 13:41,"0150deb7d0,0160",U16f92b0df914c40495c60e84bf79adba,海玩子雞蛋糕,23.56997,119.56894,244094,40,0,風,ChIJfRyEck1bbDQRW1v231YeUP8
2242,2022/3/11 16:42,"0150deb7d0,0057",U16f92b0df914c40495c60e84bf79adba,澎湖海洋地質公園中心(1F),23.56642,119.57891,342480,40,0,晴,ChIJAUljgLlbbDQRwuvTXGBzHnE
2300,2022/3/12 17:21,"0150deb7d0,0210",U16f92b0df914c40495c60e84bf79adba,蔬脆蛋餅,23.56632,119.56511,345769,40,0,晴,ChIJm-8sPfNabDQR3Gp44W0AwU4
2347,2022/3/13 17:11,"0150deb7d0,0337",U16f92b0df914c40495c60e84bf79adba,金海集,23.56305,119.56706,348527,40,0,晴,ChIJAe1sFI1abDQR84-U-PKWtU0
4894,2022/4/5 17:39,"0150deb7d0,0295",U16f92b0df914c40495c60e84bf79adba,獨領風騷,23.56815,119.56751,416844,40,0,陰多雲,ChIJq_Fhd2ipQjQRmwksF_0508U
4944,2022/4/6 15:51,"0150deb7d0,0125",U16f92b0df914c40495c60e84bf79adba,赤崁海產行,23.57061,119.57209,419361,40,0,風,ChIJ1UGB9O5abDQRK6G5GcPmTEQ
4946,2022/4/6 16:01,"0150deb7d0,0332",U16f92b0df914c40495c60e84bf79adba,小螞蟻牛排,23.56836,119.56831,419386,40,0,風,ChIJO-k-Wr1bbDQRkJ45wWsxJ_A
4952,2022/4/6 16:51,"0150deb7d0,0373",U16f92b0df914c40495c60e84bf79adba,美德西點麵包店,23.5706,119.57208,419553,40,0,風,ChIJGzrbRygfaDQR2YLRKJOo7Dk
4996,2022/4/7 17:30,"0150deb7d0,0231",U16f92b0df914c40495c60e84bf79adba,青泉豆花,23.57472,119.57821,422284,40,0,陰風,ChIJiV8LuehabDQR6KKBeFWg0As
666,2022/2/17 20:36,"0150deb7d0,0262",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,登峰藝品行(登峰特產行),23.56505,119.56522,272922,58,1,風,ChIJ0bCS0oxabDQR0EkKVFJ_O3Y
729,2022/2/18 18:38,"0150deb7d0,0125",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,赤崁海產行,23.57061,119.57209,276276,58,1,陰雨,ChIJ1UGB9O5abDQRK6G5GcPmTEQ
778,2022/2/19 17:32,"0150deb7d0,0188",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,欣欣麵食館,23.58453,119.65867,279027,58,1,風轉小雨,ChIJ2Ur3hsCfaDQRT1uu0DytjZU
781,2022/2/19 18:12,"0150deb7d0,0338",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,曾記滿福堂擔仔麵,23.57406,119.57323,279152,58,1,風轉小雨,ChIJZU7sJiRbbDQR6ns6US0hX7g
4911,2022/4/5 20:05,"0150deb7d0,0370",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,美味登場飯麵館,23.56881,119.57029,417325,58,1,陰多雲,ChIJZxsnqYpbbDQR8C1qqa45Ajo
4964,2022/4/6 19:56,"0150deb7d0,0153",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,找食間,23.57331,119.56867,420203,58,1,風,ChIJl_t1ULAjaDQR7V-qRk9a3lQ
5014,2022/4/7 20:33,"0150deb7d0,0332",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,小螞蟻牛排,23.56836,119.56831,422871,58,1,陰風,ChIJO-k-Wr1bbDQRkJ45wWsxJ_A
370,2022/2/13 19:41,"0150deb7d0,0179",U0d5a39ecd31b0b2b63f941e2d03cb796,祥馨鮮鮮果舖,23.57336,119.57256,259931,67,0,陰雨,ChIJ00QLKRJbbDQRwD2GYkNXlMI
417,2022/2/14 18:14,"0150deb7d0,0330",U0d5a39ecd31b0b2b63f941e2d03cb796,招柴莉莉,23.57278,119.57504,262690,67,0,陰風 ,ChIJOQKqwa03aDQRdWUUj-skPf8
484,2022/2/15 02:38,"0150deb7d0,0091",U0d5a39ecd31b0b2b63f941e2d03cb796,玻玻飲食店,23.57971,119.57924,263845,67,0,陰風 ,ChIJ2cqjfSojaDQRlUG4xWca40I
506,2022/2/15 18:41,"0150deb7d0,0290",U0d5a39ecd31b0b2b63f941e2d03cb796,老餅新料蔥油餅,23.57605,119.57486,265876,67,0,陰風 ,ChIJYVRTJhVbbDQR7tGzlovPn_A
513,2022/2/15 18:56,"0150deb7d0,0284",U0d5a39ecd31b0b2b63f941e2d03cb796,澎湖湯包王,23.57572,119.57479,265925,67,0,陰風 ,ChIJfYyqojxbbDQRGGxepd_BnfY
1505,2022/2/3 22:34,"0150deb7d0,0150",U0d5a39ecd31b0b2b63f941e2d03cb796,好享吃小火鍋,23.56745,119.56641,232419,67,0,風轉小雨,ChIJ20lg-PJabDQRDHiKMctfOv0
1513,2022/2/3 23:25,"0150deb7d0,0359",U0d5a39ecd31b0b2b63f941e2d03cb796,Bella調酒專賣店,23.56855353,119.567152,232506,67,0,風轉小雨,ChIJ4xYYPAlbbDQRA0iQ6rdYDTg
1587,2022/2/4 15:42,"0150deb7d0,0442",U0d5a39ecd31b0b2b63f941e2d03cb796,佶肯美式漢堡炸雞,23.56354,119.56659,233966,67,0,風,ChIJ2cPHGUpbbDQRVpSpFauCZVk
1620,2022/2/5 13:25,"0150deb7d0,0338",U0d5a39ecd31b0b2b63f941e2d03cb796,曾記滿福堂擔仔麵,23.57406,119.57323,236106,67,0,陰風 ,ChIJZU7sJiRbbDQR6ns6US0hX7g
1682,2022/2/5 21:15,"0150deb7d0,0083",U0d5a39ecd31b0b2b63f941e2d03cb796,海功商號(波霸花枝丸、月亮蝦餅、當季海鮮宅配),23.56542,119.56562,237379,67,0,陰風 ,ChIJicxsKfNabDQR3bdCErfjbaU
3436,2022/3/30 12:33,"0150deb7d0,0048",U58001d9adfe8f94262b41bcaf841093b,小門鯨魚洞站,23.65265094,119.5174826,398667,73,0,多雲,ChIJ9W2zcRtcbDQRVinznJ9L07I
3441,2022/3/30 14:48,"0150deb7d0,0264",U58001d9adfe8f94262b41bcaf841093b,阿姨仙人掌冰,23.65683,119.55745,399221,73,0,多雲,ChIJXwXdi_VcbDQRXhyWMJzBcXg
3509,2022/3/31 07:13,"0150deb7d0,0278",U58001d9adfe8f94262b41bcaf841093b,源羊肉店,23.57158,119.57413,400792,73,0,陰風,ChIJTdDwRywMbjQR14Vnj6mY8ow
3929,2022/4/1 19:15,"0150deb7d0,0360",U58001d9adfe8f94262b41bcaf841093b,芳遠水果行,23.56751,119.56721,406256,73,0,風,ChIJMxmhX_JabDQRHmV3SOE_wrs
2812,2022/3/2 16:20,"0150deb7d0,0101",U1533b24c18a3e1f1479bdb79969431d9,青灣餐廳,23.52903,119.55413,313563,67,1,風,ChIJ2UuZDvdRbDQRZ7k-2aB9jfU
3365,2022/3/3 23:14,"0150deb7d0,0432",U1533b24c18a3e1f1479bdb79969431d9,多那之澎湖店,23.56483,119.56537,318272,67,1,晴,ChIJ-9y604xabDQRScBNv-jRGcA
3579,2022/3/4 18:38,"0150deb7d0,0093",U1533b24c18a3e1f1479bdb79969431d9,許媽媽小吃館,23.56888,119.56856,320667,67,1,晴,ChIJS_WdDvJabDQRs6gYjJqno2I
4555,2022/4/23 21:19,"0150deb7d0,0074",U1533b24c18a3e1f1479bdb79969431d9,媽宮海產行到了！,23.56491,119.56533,467072,67,1,多雲晴,ChIJpVXXBaBbbDQR9NbO3ifqXR8
4565,2022/4/24 11:41,"0150deb7d0,0149",U1533b24c18a3e1f1479bdb79969431d9,拾捌度C鮮果茶飲站,23.57436,119.5795,467819,67,1,晴,ChIJNUFVNi0faDQRa9YzAt7lwb4
4607,2022/4/25 17:26,"0150deb7d0,0152",U1533b24c18a3e1f1479bdb79969431d9,邁泰MAI TAI THAI TEA,23.56667,119.56486,471302,67,1,晴多雲,ChIJ913TnM1bbDQRg2WOanFw-Vs
336,2022/2/13 22:17,"0150deb7d0,0295",U317cec3c5157e6f8bb09cfb3a514f5cc,獨領風騷,23.56815,119.56751,260350,64,0,陰雨,ChIJq_Fhd2ipQjQRmwksF_0508U
411,2022/2/14 17:51,"0150deb7d0,0371",U317cec3c5157e6f8bb09cfb3a514f5cc,阿鳳牛肉河粉,23.57142,119.57239,262608,64,0,陰風 ,ChIJjb-f_e5abDQRjlx7oCHlPoM
533,2022/2/15 21:22,"0150deb7d0,0329",U317cec3c5157e6f8bb09cfb3a514f5cc,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,266277,64,0,陰風 ,ChIJT0S2eeVdbDQRKwaZerDk1zI
534,2022/2/15 21:27,"0150deb7d0,0307",U317cec3c5157e6f8bb09cfb3a514f5cc,世軒西點麵包????,23.57275,119.57417,266291,64,0,陰風 ,ChIJPTaLSe9abDQRkaCzegaLOKI
535,2022/2/15 21:47,"0150deb7d0,0177",U317cec3c5157e6f8bb09cfb3a514f5cc,夏天茶飲,23.57184,119.57075,266334,64,0,陰風 ,ChIJN9-vTe5abDQRt5TDf4_F5kU
4819,2022/4/4 13:11,"0150deb7d0,0112",U317cec3c5157e6f8bb09cfb3a514f5cc,劉正港檸檬汁-中華店,23.57204,119.57574,413547,64,0,風,ChIJKV5DcQ1bbDQRdxjFjIxHKEs
4830,2022/4/4 23:50,"0150deb7d0,0168",U317cec3c5157e6f8bb09cfb3a514f5cc,小正傢私店,23.56467,119.56484,415121,64,0,風,ChIJW-BRwW1bbDQR2-V1wKXXvYQ
4913,2022/4/5 20:13,"0150deb7d0,0403",U317cec3c5157e6f8bb09cfb3a514f5cc,恐龍炭烤饅頭,23.56671,119.56477,417346,64,0,陰多雲,ChIJca6AcixbbDQRAO4FYiTPnEQ
4939,2022/4/6 14:57,"0150deb7d0,0275",U317cec3c5157e6f8bb09cfb3a514f5cc,萊客帕冰品Like Par Par,23.56342,119.56493,419148,64,0,風,ChIJgXptpF9bbDQRv1LMmIiQC_M
1781,2022/2/7 12:02,"0150deb7d0,0072",U863b8cae579201d96dab41d5e002a5a3,日香美食坊歡迎您～,23.57466,119.5768,240687,31,0,雨,ChIJTaiZN-ZabDQRsy1PWLxaE5I
