place_id,count
ChIJZU7sJiRbbDQR6ns6US0hX7g,67
ChIJfaHxGu5abDQR_LWiiTnY7QE,61
ChIJlzQ-Y-5abDQResCI8cBJOb8,60
ChIJQzBnhYWpQjQR7Vr5CPt4quk,59
ChIJkaAQgG5bbDQR-ckXlZIXzTQ,53
ChIJY7G8zCNbbDQROK_EFcpcfPw,48
ChIJV0nO1f1bbDQRoPL9XWhn6vU,46
ChIJT0S2eeVdbDQRKwaZerDk1zI,43
ChIJPSvBJfNabDQR38pPWb1IbtI,42
ChIJibnwNvNabDQR9kbvornvaEg,42
ChIJi_fZp1BbbDQRecqDI2NU4Yw,40
ChIJN9-vTe5abDQRt5TDf4_F5kU,40
ChIJ20lg-PJabDQRDHiKMctfOv0,38
ChIJTaiZN-ZabDQRsy1PWLxaE5I,37
ChIJI5H92hlbbDQRD7zxsdA1Msg,36
ChIJb8JwguhabDQR7a0_au0jVCI,34
ChIJ00QLKRJbbDQRwD2GYkNXlMI,34
ChIJq6qqqueFbjQRH-YHnzcEI0Q,33
ChIJjb-f_e5abDQRjlx7oCHlPoM,33
ChIJ2_jZgd1abDQRFayuSHiw_Nc,32
ChIJN5DvkudabDQRL-O1-L8t9Ew,32
ChIJswnQYe1abDQRm0FvaJaVxp4,31
ChIJMxmhX_JabDQRHmV3SOE_wrs,31
ChIJRzYoJ_1bbDQR9Mc83QLsd98,30
ChIJBRjMKPNabDQRzIM5o7k1v9s,30
ChIJvW5qOfNabDQRVBUh-4ULOrk,29
ChIJLQsxp-NbbDQRbQjjES_Y3Xo,29
ChIJ-9y604xabDQRScBNv-jRGcA,28
ChIJO_4UUIhbbDQR8gnlu-9HEfI,28
ChIJAUljgLlbbDQRwuvTXGBzHnE,28
ChIJY-fP1uNbbDQRoHrOePIL5aM,27
ChIJOdEODuRabDQRdSnc3SoZEhA,27
ChIJT6bv8YxabDQRDJJkLTdthb4,26
ChIJ-bbZLLZbbDQR9MENVN1zp3U,25
ChIJyVNCwvJabDQRkvfi2gtgkic,25
ChIJzV38LvNabDQRGh1qBJwaVC0,25
ChIJN2ZU9eVabDQR_34Xh_UFy-8,25
ChIJBwOBAAdFbDQRusz1SM14xhM,24
ChIJPTaLSe9abDQRkaCzegaLOKI,24
